2672                      27	22.50	 7.20	  157.20	  356.03	VSimple
2672                      32	26.67	 8.53	  376.18	  379.92	TurboVbyte
2672                      32	26.67	 8.53	  356.51	  365.87	MaskedVByte
2672                      32	26.67	 8.53	  291.76	  265.20	VbyteFPF
2672                      32	26.67	 8.53	  290.83	  263.90	SIMDPackFPF
2672                      36	30.00	 9.60	  120.69	  484.38	VarintG8IU
2672                      39	32.50	10.40	  103.83	  188.12	TurboPFor
2672                      39	32.50	10.40	  104.33	  176.23	TurboPForDA
2672                      46	38.33	12.27	  409.93	  404.62	TurboPack
2672                      46	38.33	12.27	  399.43	  402.23	TurboPackV
2672                      46	38.33	12.27	  407.54	  376.52	TurboFor
2672                      46	38.33	12.27	  408.45	  284.45	TurboForDA
2672                      47	39.17	12.53	   32.14	  179.87	lz4
2672                     120	100.00	32.00	  492.94	  534.37	Copy
