8300                      17	26.56	 8.50	  125.08	  222.43	VSimple
8300                      18	28.12	 9.00	  236.90	  236.25	TurboVbyte
8300                      18	28.12	 9.00	  197.05	  194.72	VbyteFPF
8300                      18	28.12	 9.00	  225.63	  194.24	MaskedVByte
8300                      18	28.12	 9.00	  196.14	  193.66	SIMDPackFPF
8300                      25	39.06	12.50	  222.00	  208.10	TurboPack
8300                      25	39.06	12.50	  220.45	  205.95	TurboPackV
8300                      25	39.06	12.50	  222.61	  201.13	TurboForDA
8300                      25	39.06	12.50	  223.39	  192.43	TurboFor
8300                      25	39.06	12.50	   98.85	  190.52	TurboPForDA
8300                      25	39.06	12.50	   98.26	  186.78	TurboPFor
8300                      27	42.19	13.50	   97.12	  276.05	VarintG8IU
8300                      30	46.88	15.00	   20.55	  146.61	lz4
8300                      64	100.00	32.00	  271.21	  298.48	Copy
