8764                      12	37.50	12.00	  126.72	  127.85	TurboVbyte
8764                      12	37.50	12.00	  118.15	  125.86	SIMDPackFPF
8764                      12	37.50	12.00	  117.11	  120.10	VbyteFPF
8764                      12	37.50	12.00	  135.77	  106.99	MaskedVByte
8764                      13	40.62	13.00	  107.16	  123.63	TurboForDA
8764                      13	40.62	13.00	   52.13	  117.83	TurboPForDA
8764                      13	40.62	13.00	  107.72	  104.75	TurboPack
8764                      13	40.62	13.00	  108.68	  103.08	TurboPackV
8764                      13	40.62	13.00	  107.61	   95.83	TurboFor
8764                      13	40.62	13.00	   51.90	   95.78	TurboPFor
8764                      16	50.00	16.00	   79.77	  134.20	VSimple
8764                      18	56.25	18.00	   70.81	  149.65	VarintG8IU
8764                      20	62.50	20.00	    9.69	   66.07	lz4
8764                      32	100.00	32.00	  153.52	  164.31	Copy
