5715                      33	22.92	 7.33	  178.55	  421.93	VSimple
5715                      38	26.39	 8.44	  431.39	  433.30	TurboVbyte
5715                      38	26.39	 8.44	  394.65	  388.56	MaskedVByte
5715                      38	26.39	 8.44	  322.16	  290.38	VbyteFPF
5715                      38	26.39	 8.44	  319.78	  289.52	SIMDPackFPF
5715                      44	30.56	 9.78	  110.43	  233.42	TurboPFor
5715                      44	30.56	 9.78	  111.73	  182.43	TurboPForDA
5715                      45	31.25	10.00	  125.41	  568.16	VarintG8IU
5715                      55	38.19	12.22	  395.21	  366.22	TurboPack
5715                      55	38.19	12.22	  389.62	  363.56	TurboPackV
5715                      55	38.19	12.22	  394.45	  329.70	TurboFor
5715                      55	38.19	12.22	  395.52	  296.13	TurboForDA
5715                      58	40.28	12.89	   39.75	  266.07	lz4
5715                     144	100.00	32.00	  623.99	  680.03	Copy
