8320                      30	26.79	 8.57	  365.92	  365.34	TurboVbyte
8320                      30	26.79	 8.57	  339.57	  287.43	MaskedVByte
8320                      30	26.79	 8.57	  283.88	  254.34	VbyteFPF
8320                      30	26.79	 8.57	  281.47	  253.36	SIMDPackFPF
8320                      31	27.68	 8.86	  151.76	  307.85	VSimple
8320                      36	32.14	10.29	  118.01	  453.38	VarintG8IU
8320                      38	33.93	10.86	  104.26	  257.03	TurboPFor
8320                      38	33.93	10.86	  104.80	  188.47	TurboPForDA
8320                      43	38.39	12.29	  386.50	  376.31	TurboPack
8320                      43	38.39	12.29	  381.02	  374.50	TurboPackV
8320                      43	38.39	12.29	  386.94	  359.10	TurboFor
8320                      43	38.39	12.29	  385.68	  276.40	TurboForDA
8320                      45	40.18	12.86	   31.28	  172.94	lz4
8320                     112	100.00	32.00	  493.12	  527.65	Copy
