8844                      38	23.75	 7.60	  167.28	  370.72	VSimple
8844                      42	26.25	 8.40	  450.07	  463.53	TurboVbyte
8844                      42	26.25	 8.40	  385.67	  407.76	MaskedVByte
8844                      42	26.25	 8.40	  330.64	  301.67	VbyteFPF
8844                      42	26.25	 8.40	  328.83	  301.65	SIMDPackFPF
8844                      48	30.00	 9.60	  118.50	  259.67	TurboPFor
8844                      48	30.00	 9.60	  118.80	  200.82	TurboPForDA
8844                      54	33.75	10.80	  126.37	  595.91	VarintG8IU
8844                      57	35.62	11.40	   41.82	  249.04	lz4
8844                      61	38.12	12.20	  418.64	  426.64	TurboPack
8844                      61	38.12	12.20	  413.17	  421.30	TurboPackV
8844                      61	38.12	12.20	  418.52	  381.92	TurboFor
8844                      61	38.12	12.20	  417.78	  306.88	TurboForDA
8844                     160	100.00	32.00	  686.64	  734.32	Copy
