3455                      12	30.00	 9.60	  159.61	  161.80	TurboVbyte
3455                      12	30.00	 9.60	  144.96	  145.32	VbyteFPF
3455                      12	30.00	 9.60	  143.85	  144.42	SIMDPackFPF
3455                      12	30.00	 9.60	  159.46	  132.71	MaskedVByte
3455                      18	45.00	14.40	   79.25	  186.73	VarintG8IU
3455                      18	45.00	14.40	  132.52	  148.13	TurboForDA
3455                      18	45.00	14.40	   87.88	  141.26	VSimple
3455                      18	45.00	14.40	   64.37	  140.44	TurboPForDA
3455                      18	45.00	14.40	  132.99	  128.06	TurboPackV
3455                      18	45.00	14.40	  132.71	  127.85	TurboPack
3455                      18	45.00	14.40	   64.74	  119.90	TurboPFor
3455                      18	45.00	14.40	  132.69	  119.11	TurboFor
3455                      23	57.50	18.40	   12.42	   75.77	lz4
3455                      40	100.00	32.00	  158.01	  165.33	Copy
