9029                      16	28.57	 9.14	  212.10	  215.82	TurboVbyte
9029                      16	28.57	 9.14	  185.09	  184.94	VbyteFPF
9029                      16	28.57	 9.14	  183.37	  182.15	SIMDPackFPF
9029                      16	28.57	 9.14	  209.05	  171.87	MaskedVByte
9029                      18	32.14	10.29	   94.03	  262.81	VarintG8IU
9029                      21	37.50	12.00	  112.09	  212.28	VSimple
9029                      22	39.29	12.57	  181.52	  183.83	TurboPack
9029                      22	39.29	12.57	  181.75	  183.32	TurboForDA
9029                      22	39.29	12.57	   85.96	  180.97	TurboPForDA
9029                      22	39.29	12.57	  184.13	  180.63	TurboPackV
9029                      22	39.29	12.57	   85.31	  175.06	TurboPFor
9029                      22	39.29	12.57	  181.91	  167.86	TurboFor
9029                      28	50.00	16.00	   16.60	   96.10	lz4
9029                      56	100.00	32.00	  242.91	  258.83	Copy
