6487                      12	30.00	 9.60	  151.00	  162.54	TurboVbyte
6487                      12	30.00	 9.60	  138.60	  148.39	VbyteFPF
6487                      12	30.00	 9.60	  136.87	  146.99	SIMDPackFPF
6487                      12	30.00	 9.60	  151.01	  133.14	MaskedVByte
6487                      13	32.50	10.40	   95.70	  163.78	VSimple
6487                      16	40.00	12.80	  126.38	  141.84	TurboForDA
6487                      16	40.00	12.80	   64.44	  141.54	TurboPForDA
6487                      16	40.00	12.80	   64.23	  125.42	TurboPFor
6487                      16	40.00	12.80	  126.39	  124.74	TurboPack
6487                      16	40.00	12.80	  126.62	  124.28	TurboPackV
6487                      16	40.00	12.80	  126.42	  117.88	TurboFor
6487                      18	45.00	14.40	   78.29	  184.29	VarintG8IU
6487                      23	57.50	18.40	   12.12	   75.33	lz4
6487                      40	100.00	32.00	  164.46	  182.23	Copy
