733                       14	29.17	 9.33	  177.87	  185.89	TurboVbyte
733                       14	29.17	 9.33	  161.11	  159.15	VbyteFPF
733                       14	29.17	 9.33	  159.50	  158.87	SIMDPackFPF
733                       14	29.17	 9.33	  180.52	  147.88	MaskedVByte
733                       18	37.50	12.00	   85.45	  216.51	VarintG8IU
733                       18	37.50	12.00	   92.78	  178.45	VSimple
733                       19	39.58	12.67	  165.19	  160.52	TurboForDA
733                       19	39.58	12.67	  163.66	  160.09	TurboPack
733                       19	39.58	12.67	  163.21	  158.13	TurboPackV
733                       19	39.58	12.67	   72.62	  154.98	TurboPForDA
733                       19	39.58	12.67	  164.65	  148.12	TurboFor
733                       19	39.58	12.67	   72.05	  142.31	TurboPFor
733                       26	54.17	17.33	   13.90	   83.62	lz4
733                       48	100.00	32.00	  214.59	  235.22	Copy
