2537                      40	26.32	 8.42	  441.06	  444.36	TurboVbyte
2537                      40	26.32	 8.42	  396.36	  404.55	MaskedVByte
2537                      40	26.32	 8.42	  332.35	  298.88	VbyteFPF
2537                      40	26.32	 8.42	  329.22	  297.32	SIMDPackFPF
2537                      43	28.29	 9.05	  162.23	  319.88	VSimple
2537                      45	29.61	 9.47	  126.90	  595.43	VarintG8IU
2537                      53	34.87	11.16	  117.95	  289.46	TurboPFor
2537                      53	34.87	11.16	  118.60	  222.36	TurboPForDA
2537                      54	35.53	11.37	  398.63	  405.07	TurboPack
2537                      54	35.53	11.37	  394.83	  395.55	TurboPackV
2537                      54	35.53	11.37	  370.97	  356.91	TurboFor
2537                      54	35.53	11.37	  397.75	  301.22	TurboForDA
2537                      55	36.18	11.58	   41.27	  243.82	lz4
2537                     152	100.00	32.00	  595.44	  610.52	Copy
