572                       30	26.79	 8.57	  365.36	  364.53	TurboVbyte
572                       30	26.79	 8.57	  338.81	  286.49	MaskedVByte
572                       30	26.79	 8.57	  283.49	  254.12	VbyteFPF
572                       30	26.79	 8.57	  280.92	  253.02	SIMDPackFPF
572                       36	32.14	10.29	  117.82	  451.83	VarintG8IU
572                       36	32.14	10.29	  152.79	  306.16	VSimple
572                       43	38.39	12.29	  387.42	  378.90	TurboPack
572                       43	38.39	12.29	  382.57	  373.21	TurboPackV
572                       43	38.39	12.29	  390.03	  356.74	TurboFor
572                       43	38.39	12.29	  150.44	  332.31	TurboPFor
572                       43	38.39	12.29	  154.70	  276.28	TurboPForDA
572                       43	38.39	12.29	  389.04	  275.16	TurboForDA
572                       45	40.18	12.86	   30.72	  173.18	lz4
572                      112	100.00	32.00	  491.37	  526.28	Copy
