161                       33	25.78	 8.25	  167.34	  352.72	VSimple
161                       34	26.56	 8.50	  400.25	  400.55	TurboVbyte
161                       34	26.56	 8.50	  373.46	  376.17	MaskedVByte
161                       34	26.56	 8.50	  308.63	  263.54	VbyteFPF
161                       34	26.56	 8.50	  306.98	  261.94	SIMDPackFPF
161                       45	35.16	11.25	  120.03	  507.25	VarintG8IU
161                       45	35.16	11.25	  108.54	  277.51	TurboPFor
161                       45	35.16	11.25	  109.10	  185.01	TurboPForDA
161                       46	35.94	11.50	   37.53	  248.90	lz4
161                       49	38.28	12.25	  396.67	  403.90	TurboPack
161                       49	38.28	12.25	  394.21	  400.64	TurboPackV
161                       49	38.28	12.25	  396.68	  377.30	TurboFor
161                       49	38.28	12.25	  396.60	  287.75	TurboForDA
161                      128	100.00	32.00	  543.66	  574.22	Copy
