10380                     12	30.00	 9.60	  150.56	  157.21	TurboVbyte
10380                     12	30.00	 9.60	  142.53	  140.26	VbyteFPF
10380                     12	30.00	 9.60	  139.65	  139.01	SIMDPackFPF
10380                     12	30.00	 9.60	  153.21	  131.30	MaskedVByte
10380                     13	32.50	10.40	  101.90	  159.43	VSimple
10380                     18	45.00	14.40	   77.78	  175.53	VarintG8IU
10380                     18	45.00	14.40	  138.11	  140.46	TurboForDA
10380                     18	45.00	14.40	   62.03	  135.56	TurboPForDA
10380                     18	45.00	14.40	  138.15	  133.55	TurboPack
10380                     18	45.00	14.40	  136.46	  130.89	TurboPackV
10380                     18	45.00	14.40	   64.05	  118.18	TurboPFor
10380                     18	45.00	14.40	  137.75	  117.42	TurboFor
10380                     23	57.50	18.40	   12.59	   73.58	lz4
10380                     40	100.00	32.00	  174.01	  184.82	Copy
