6946                      36	26.47	 8.47	  400.73	  405.94	TurboVbyte
6946                      36	26.47	 8.47	  379.25	  377.09	MaskedVByte
6946                      36	26.47	 8.47	  309.23	  285.04	VbyteFPF
6946                      36	26.47	 8.47	  308.82	  283.79	SIMDPackFPF
6946                      41	30.15	 9.65	  152.26	  339.31	VSimple
6946                      45	33.09	10.59	  121.60	  524.49	VarintG8IU
6946                      49	36.03	11.53	   39.40	  258.80	lz4
6946                      50	36.76	11.76	  108.44	  257.67	TurboPFor
6946                      50	36.76	11.76	  109.08	  205.61	TurboPForDA
6946                      52	38.24	12.24	  361.21	  338.63	TurboPack
6946                      52	38.24	12.24	  356.94	  336.04	TurboPackV
6946                      52	38.24	12.24	  363.57	  304.43	TurboFor
6946                      52	38.24	12.24	  359.28	  294.79	TurboForDA
6946                     136	100.00	32.00	  525.30	  574.42	Copy
