5021                      23	26.14	 8.36	  145.37	  282.33	VSimple
5021                      24	27.27	 8.73	  302.67	  304.81	TurboVbyte
5021                      24	27.27	 8.73	  297.66	  246.32	MaskedVByte
5021                      24	27.27	 8.73	  246.10	  218.94	VbyteFPF
5021                      24	27.27	 8.73	  252.33	  217.12	SIMDPackFPF
5021                      27	30.68	 9.82	  110.48	  388.87	VarintG8IU
5021                      34	38.64	12.36	  293.85	  284.96	TurboPack
5021                      34	38.64	12.36	  294.51	  282.45	TurboPackV
5021                      34	38.64	12.36	  125.81	  277.36	TurboPFor
5021                      34	38.64	12.36	  294.05	  263.33	TurboFor
5021                      34	38.64	12.36	  293.86	  245.03	TurboForDA
5021                      34	38.64	12.36	  127.00	  243.91	TurboPForDA
5021                      38	43.18	13.82	   25.44	  156.16	lz4
5021                      88	100.00	32.00	  351.92	  387.65	Copy
