7614                      12	30.00	 9.60	  159.57	  163.73	TurboVbyte
7614                      12	30.00	 9.60	  145.29	  148.15	VbyteFPF
7614                      12	30.00	 9.60	  143.22	  146.64	SIMDPackFPF
7614                      12	30.00	 9.60	  159.90	  135.14	MaskedVByte
7614                      13	32.50	10.40	   91.26	  171.33	VSimple
7614                      14	35.00	11.20	  133.97	  145.75	TurboForDA
7614                      14	35.00	11.20	   66.14	  138.54	TurboPForDA
7614                      14	35.00	11.20	  133.94	  129.30	TurboFor
7614                      14	35.00	11.20	  134.11	  128.17	TurboPack
7614                      14	35.00	11.20	  136.63	  127.14	TurboPackV
7614                      14	35.00	11.20	   65.84	  121.09	TurboPFor
7614                      18	45.00	14.40	   83.38	  190.68	VarintG8IU
7614                      23	57.50	18.40	   11.95	   75.68	lz4
7614                      40	100.00	32.00	  168.60	  183.38	Copy
