6543                      18	28.12	 9.00	  128.97	  251.52	VSimple
6543                      18	28.12	 9.00	  233.55	  233.98	TurboVbyte
6543                      18	28.12	 9.00	  199.21	  195.65	VbyteFPF
6543                      18	28.12	 9.00	  197.97	  193.96	SIMDPackFPF
6543                      18	28.12	 9.00	  225.89	  188.58	MaskedVByte
6543                      25	39.06	12.50	   98.29	  196.30	TurboPForDA
6543                      25	39.06	12.50	   97.69	  195.46	TurboPFor
6543                      25	39.06	12.50	  203.59	  195.28	TurboForDA
6543                      25	39.06	12.50	  203.64	  193.08	TurboPack
6543                      25	39.06	12.50	  201.72	  192.84	TurboPackV
6543                      25	39.06	12.50	  203.53	  185.44	TurboFor
6543                      27	42.19	13.50	   97.37	  273.22	VarintG8IU
6543                      30	46.88	15.00	   20.20	  146.23	lz4
6543                      64	100.00	32.00	  258.70	  275.66	Copy
