1012                      14	29.17	 9.33	  181.75	  183.48	TurboVbyte
1012                      14	29.17	 9.33	  160.44	  160.59	VbyteFPF
1012                      14	29.17	 9.33	  163.71	  159.55	SIMDPackFPF
1012                      14	29.17	 9.33	  181.82	  147.46	MaskedVByte
1012                      18	37.50	12.00	   85.71	  212.60	VarintG8IU
1012                      21	43.75	14.00	   97.55	  174.16	VSimple
1012                      21	43.75	14.00	  160.99	  160.28	TurboForDA
1012                      21	43.75	14.00	  160.45	  157.50	TurboPack
1012                      21	43.75	14.00	   77.03	  156.23	TurboPForDA
1012                      21	43.75	14.00	  161.81	  156.16	TurboPackV
1012                      21	43.75	14.00	  160.43	  145.60	TurboFor
1012                      21	43.75	14.00	   76.75	  145.58	TurboPFor
1012                      26	54.17	17.33	   14.58	   83.96	lz4
1012                      48	100.00	32.00	  216.75	  232.13	Copy
