10925                     38	23.75	 7.60	  172.53	  462.10	VSimple
10925                     42	26.25	 8.40	  463.28	  463.92	TurboVbyte
10925                     42	26.25	 8.40	  401.46	  413.76	MaskedVByte
10925                     42	26.25	 8.40	  338.96	  316.09	VbyteFPF
10925                     42	26.25	 8.40	  336.87	  312.64	SIMDPackFPF
10925                     50	31.25	10.00	  117.11	  259.93	TurboPFor
10925                     50	31.25	10.00	  117.69	  192.30	TurboPForDA
10925                     54	33.75	10.80	  127.36	  596.35	VarintG8IU
10925                     58	36.25	11.60	   42.57	  241.96	lz4
10925                     61	38.12	12.20	  430.03	  427.64	TurboPack
10925                     61	38.12	12.20	  425.66	  423.38	TurboPackV
10925                     61	38.12	12.20	  430.16	  363.35	TurboFor
10925                     61	38.12	12.20	  428.95	  310.64	TurboForDA
10925                    160	100.00	32.00	  648.27	  689.38	Copy
