4113                      33	25.78	 8.25	  127.07	  249.35	VSimple
4113                      34	26.56	 8.50	  401.47	  401.72	TurboVbyte
4113                      34	26.56	 8.50	  371.66	  374.10	MaskedVByte
4113                      34	26.56	 8.50	  305.24	  280.11	VbyteFPF
4113                      34	26.56	 8.50	  303.06	  278.29	SIMDPackFPF
4113                      43	33.59	10.75	  104.89	  245.98	TurboPFor
4113                      43	33.59	10.75	  105.45	  165.93	TurboPForDA
4113                      45	35.16	11.25	  122.70	  505.70	VarintG8IU
4113                      46	35.94	11.50	   37.50	  264.06	lz4
4113                      49	38.28	12.25	  406.93	  418.53	TurboPack
4113                      49	38.28	12.25	  402.31	  411.46	TurboPackV
4113                      49	38.28	12.25	  407.35	  382.65	TurboFor
4113                      49	38.28	12.25	  407.24	  293.23	TurboForDA
4113                     128	100.00	32.00	  530.71	  560.57	Copy
