8479                      17	35.42	11.33	  184.60	  183.01	TurboVbyte
8479                      17	35.42	11.33	  166.44	  166.67	SIMDPackFPF
8479                      17	35.42	11.33	  169.89	  159.72	VbyteFPF
8479                      17	35.42	11.33	  192.53	  145.85	MaskedVByte
8479                      18	37.50	12.00	   85.25	  223.17	VarintG8IU
8479                      19	39.58	12.67	  159.50	  166.51	TurboForDA
8479                      19	39.58	12.67	   75.88	  162.20	TurboPForDA
8479                      19	39.58	12.67	  160.00	  157.32	TurboPack
8479                      19	39.58	12.67	  161.00	  154.96	TurboPackV
8479                      19	39.58	12.67	   75.54	  145.97	TurboPFor
8479                      19	39.58	12.67	  159.69	  144.39	TurboFor
8479                      21	43.75	14.00	  105.30	  170.99	VSimple
8479                      28	58.33	18.67	   14.08	   87.44	lz4
8479                      48	100.00	32.00	  221.10	  243.08	Copy
