10351                     12	37.50	12.00	  128.19	  127.86	TurboVbyte
10351                     12	37.50	12.00	  118.19	  124.34	SIMDPackFPF
10351                     12	37.50	12.00	  120.05	  116.13	VbyteFPF
10351                     12	37.50	12.00	  134.59	  103.76	MaskedVByte
10351                     13	40.62	13.00	  106.48	  120.07	TurboForDA
10351                     13	40.62	13.00	   53.51	  118.49	TurboPForDA
10351                     13	40.62	13.00	  111.46	   99.53	TurboPackV
10351                     13	40.62	13.00	   53.22	   99.21	TurboPFor
10351                     13	40.62	13.00	  106.51	   99.02	TurboPack
10351                     13	40.62	13.00	  106.53	   93.56	TurboFor
10351                     16	50.00	16.00	   83.39	  140.48	VSimple
10351                     18	56.25	18.00	   69.00	  144.79	VarintG8IU
10351                     20	62.50	20.00	   10.34	   62.74	lz4
10351                     32	100.00	32.00	  138.69	  149.11	Copy
